question,type,options,answer,concepts
What is the primary goal of the 'Discovery' process in product management?,mcq,To create a detailed project plan and budget.|To ensure that engineering effort is not wasted on building the wrong product.|To document all possible user stories for the backlog.|To assign development tasks to the engineering team.,To ensure that engineering effort is not wasted on building the wrong product.,Discovery Process
Which type of data helps a product manager understand the 'why' behind user behavior?,mcq,Quantitative Data|Qualitative Data|Vanity Metrics|Comparative Data,Qualitative Data,"Qualitative Data,Quantitative Data,Discovery Process"
A product team observes that customers are aware of a problem and can clearly define what they need to solve it. This is an example of an:,mcq,Unrealized Need|Unmet Need|Vanity Problem|Feasibility Constraint,Unmet Need,"Unmet Need,Unrealized Need,Customer Problems"
"True or False: According to the SVPG discovery principles, product teams can generally rely on customers to tell them exactly what features to build.",truefalse,,False,Discovery Principles
Which of the following is the best method for discovering 'Unrealized Needs'?,mcq,Sending out a survey asking customers what new features they want.|Observing users and understanding their behavior to find frustrations.|Compiling a list of feature requests from the sales team.|Asking customers in an interview what solution they would design.,Observing users and understanding their behavior to find frustrations.,"Unrealized Need,Discovery Process"
The Jobs to be Done (JTBD) framework is particularly useful when a team is:,mcq,Trying to estimate the feasibility of a technical solution.|Stuck in solution mode and needs to get to the root of the problem.|Ready to write detailed technical specifications for engineers.|Creating a go-to-market plan for a new product launch.,Stuck in solution mode and needs to get to the root of the problem.,Jobs to be Done (JTBD)
Which of the following metrics would be considered a 'vanity metric'?,mcq,Monthly recurring revenue (MRR).|Customer churn rate month-over-month.|Total number of registered users for a freemium app.|Percentage of active users completing a key workflow.,Total number of registered users for a freemium app.,"Metrics,Vanity Metrics"
A good metric should be a ratio or a rate because:,mcq,Absolute numbers are always more impressive to stakeholders.|They are the only type of data that can be tracked over time.|Ratios are easier to act on and are good for measuring opposing factors.|They hide negative trends more effectively than raw numbers.,Ratios are easier to act on and are good for measuring opposing factors.,Metrics
"True or False: The 'Product Vision' is a detailed, tactical plan that outlines product initiatives for the next six months.",truefalse,,False,"Product Vision,Product Strategy"
A strong indicator that a customer problem is significant and worth solving is when:,mcq,"A single, high-profile customer complains about the problem once.|The engineering team believes the solution would be easy to build.|Customers are already trying many different ways to solve the problem themselves.|The problem aligns with a feature a competitor recently launched.",Customers are already trying many different ways to solve the problem themselves.,"Customer Problems,Discovery Process"
The question 'Can we do this?' relates to which of the three threats to a product's success?,mcq,Desirability|Viability|Feasibility|Usability,Feasibility,"Product Team Trio,Product Success"
"True or False: A Product Team operates with a strong understanding of their customers and users, whereas a Delivery Team often has limited understanding.",truefalse,,True,Product Team vs Delivery Team
Which of the following best describes the principle of 'Iterative Development' in a product mindset?,mcq,"Planning the entire product upfront before any development begins.|Building and improving the product in small, incremental steps.|Only developing features that are requested by the highest-paying customers.|Releasing a new version of the product only once per year.","Building and improving the product in small, incremental steps.",Product Mindset
The 'Product Strategy' serves as a high-level plan that helps you realize your:,mcq,Quarterly financial goals|Product Vision|Project milestones|User stories,Product Vision,"Product Strategy,Product Vision"
"Website analytics, app usage data, and A/B test results are all examples of:",mcq,Qualitative Data|Quantitative Data|Unstructured Data|Anecdotal Evidence,Quantitative Data,"Quantitative Data,Discovery Process"
"True or False: The goal of discovery, according to Marty Cagan, is primarily to write user stories for the engineering team.",truefalse,,False,Discovery Process
A 'Customer Journey Map' is a tool used to document:,mcq,"The technical architecture of the product.|The steps, actions, and pain points customers experience while using a product.|The project plan and delivery timeline.|The career path of a product manager within the organization.","The steps, actions, and pain points customers experience while using a product.","Customer Journey Map,Discovery Process"
Comparing a metric across different time periods or user segments aligns with which characteristic of a good metric?,mcq,Understandable|Ratio or a rate|Actionable|Comparative,Comparative,Metrics
Which of the following questions is NOT a primary consideration when evaluating which customer problem to solve?,mcq,Does this align with the team's goals or outcomes?|How many customers have this problem?|Would solving it change anything for the customer or the business?|How quickly can engineering build a solution?,How quickly can engineering build a solution?,"Customer Problems,Prioritization"
True or False: A product team should move to the next deliverable immediately after deployment without measuring the impact of the previous one.,truefalse,,False,Product Team vs Delivery Team
The Product Designer is primarily focused on which threat to a product's success?,mcq,Viability|Feasibility|Desirability|Scalability,Desirability,"Product Team Trio,Team Roles"
What is the key difference between a JTBD story and a traditional User Story?,mcq,"JTBD stories are written by engineers, while User Stories are written by Product Managers.|User Stories are longer and more detailed than JTBD stories.|JTBD focuses on the user's motivation and situation, while User Stories often focus on a feature.|There is no significant difference; they are interchangeable terms.","JTBD focuses on the user's motivation and situation, while User Stories often focus on a feature.","Jobs to be Done (JTBD),User Stories"
"According to the course materials, 'Continuous Discovery Habits' involve weekly, automated habits where product teams are:",mcq,Grooming the backlog and writing user stories.|Continuously interviewing customers and rapidly forming hypotheses.|Reporting progress to stakeholders and updating roadmaps.|Conducting performance reviews and planning team offsites.,Continuously interviewing customers and rapidly forming hypotheses.,Continuous Discovery
True or False: A Product Manager's role is to ensure the team has the business context and empathy for the customer.,truefalse,,True,Role of Product Manager
The principle of 'Outcome-Oriented' in a product mindset means the team should aim for:,mcq,Delivering all planned features by the deadline.|Meaningful results like customer satisfaction and market growth.|Completing the highest number of story points per sprint.|Receiving positive feedback from internal stakeholders.,Meaningful results like customer satisfaction and market growth.,Product Mindset
Which of the following best defines the 'product strategy trap'?,mcq,Focusing too much on business goals and ignoring customer needs.|Spending too much time on discovery and not enough on delivery.|Thinking of product strategy as just a plan to build certain features.|Creating a product vision that is too ambitious to achieve.,Thinking of product strategy as just a plan to build certain features.,Product Strategy
A key benefit of defining metrics is that it:,mcq,Guarantees that the product will be successful in the market.|Eliminates the need for qualitative customer feedback.|Enables the business to be more focused and less reactive.|Allows the team to skip the discovery process.,Enables the business to be more focused and less reactive.,Metrics
True or False: User interviews and social media comments are examples of quantitative data.,truefalse,,False,"Qualitative Data,Quantitative Data"
"In the hierarchy of product planning, which element sits at the highest, most strategic level?",mcq,Initiatives|Product Vision|Product Strategy|User Stories,Product Vision,"Product Vision,Product Strategy"
A product team is trying to solve a problem that customers are not yet aware they have. This is an example of an:,mcq,Unmet Need|User Story|Unrealized Need|Use Case,Unrealized Need,"Unrealized Need,Customer Problems"
One of the SVPG discovery principles states that we must validate our ideas as quickly and cheaply as possible. Why is this important?,mcq,To impress stakeholders with the team's speed.|To meet quarterly feature delivery quotas.|To minimize wasted effort on ideas that won't work.|To ensure the final product has perfect user experience on the first try.,To minimize wasted effort on ideas that won't work.,Discovery Principles
"True or False: According to the material, the entire organization needs to adopt a product mindset to realize the full benefits of product management.",truefalse,,True,"Product Mindset,Organizational Culture"
Which product management competency relates to understanding the market and prioritizing based on business outcomes?,mcq,Empathy|Technical Understanding|Business Savvy|Communication,Business Savvy,Product Management Competencies
A product team that does not validate its solutions before building them is acting like a:,mcq,Product Team|Strategy Team|Marketing Team|Delivery Team,Delivery Team,Product Team vs Delivery Team
The question 'Should we do this?' primarily addresses a product's:,mcq,Viability|Feasibility|Desirability|Marketability,Viability,Product Success
"If a product manager wants to understand 'what' is happening with user behavior on their website, which type of data should they primarily consult?",mcq,Qualitative Data|Quantitative Data|Focus Group Notes|User Interview Transcripts,Quantitative Data,"Quantitative Data,Discovery Process"
"True or False: A good metric must be understandable, meaning only the data science team needs to know its definition and how it is measured.",truefalse,,False,Metrics
The 'Value Creation' principle of a product mindset emphasizes delivering real benefits to:,mcq,Only the customers.|Only the business's shareholders.|Only the product team.|Both customers and the business.,Both customers and the business.,Product Mindset
Which of the following activities falls under 'Project Management' rather than 'Product Management'?,mcq,"Defining the product vision and strategy.|Identifying and assessing market opportunities.|Putting together project plans, budgets, and milestones.|Defining and measuring success criteria for the product.","Putting together project plans, budgets, and milestones.","Role of Product Manager,Project Management"
What is the primary purpose of using a tool like the Value Proposition Canvas?,mcq,To plan the technical implementation of a feature.|To connect customer problems with product features that create value.|To create a timeline for the product roadmap.|To document the organizational chart of the product team.,To connect customer problems with product features that create value.,"Value Prop Canvas,Product Strategy"
