question,type,options,answer,concepts
"According to the principles of a product mindset, why is 'Cross-Functional Collaboration' important?",mcq,It encourages teamwork across all departments to build a better product.|It ensures that only the product manager makes decisions.|It reduces the need for customer research.|It allows the engineering team to work in isolation.,It encourages teamwork across all departments to build a better product.,Product Mindset
The primary goal of the discovery process is to ship features to customers as quickly as possible.,truefalse,,False,Discovery
"A metric is more useful if it is understandable, meaning:",mcq,Everyone on the team agrees on its definition and how it is measured.|It is a very complex and detailed calculation.|Only the product manager knows how to interpret it.|It can be easily manipulated to look good.,Everyone on the team agrees on its definition and how it is measured.,Metrics
"Which of the following questions is NOT one of the three key questions associated with a product's success (viability, feasibility, desirability)?",mcq,Is it profitable immediately?|Do they want this?|Can we do this?|Should we do this?,Is it profitable immediately?,"Viability, Feasibility, Desirability"
The 'Product Mindset' focuses on understanding and solving real customer problems rather than just building features.,truefalse,,True,Product Mindset
"When evaluating a customer problem, what is one of the key questions a product team should ask?",mcq,Does solving this problem align with the team's goals or outcomes?|Is this the easiest problem to solve with our current technology?|Did the CEO suggest this idea personally?|Can we deliver a solution in the next two-week sprint?,Does solving this problem align with the team's goals or outcomes?,"Evaluating Customer Problems,Product Strategy"
A high-level plan that helps a company realize its product vision is called the:,mcq,Product Strategy|Product Backlog|User Story|Project Plan,Product Strategy,"Product Strategy,Product Vision"
The Product Backlog is primarily managed and groomed by the Product Owner in a Scrum team.,truefalse,,True,"Product Owner,Role of Product Manager"
Which of the following best describes the 'Ownership & Accountability' principle of a product mindset?,mcq,Taking responsibility for the product’s success and failures.|Owning the code that is written for the product.|Ensuring every team member owns a specific feature.|Holding only the engineers accountable for product outcomes.,Taking responsibility for the product’s success and failures.,Product Mindset
"A product team should use either quantitative or qualitative techniques for discovery, but never both.",truefalse,,False,"Discovery Principles,Qualitative vs Quantitative Data"
What is the relationship between Product Vision and Product Strategy?,mcq,"Product Strategy is the high-level plan to achieve the Product Vision.|Product Vision is a detailed component of the Product Strategy.|They are the same thing.|Product Vision is created by marketing, while Product Strategy is created by engineering.",Product Strategy is the high-level plan to achieve the Product Vision.,"Product Vision,Product Strategy"
The primary purpose of a Value Proposition Canvas is to:,mcq,Ensure a product's features align with customer pains and gains.|Document the technical architecture of a product.|Create a timeline and budget for a project.|Analyze the company's key financial metrics.,Ensure a product's features align with customer pains and gains.,"Value Proposition Canvas,Discovery"
A product team that focuses on being 'Outcome-Oriented' would prioritize which of the following?,mcq,Increasing customer satisfaction and market growth.|Completing all tasks in the current sprint.|Writing detailed documentation for every feature.|Following the original project plan without deviation.,Increasing customer satisfaction and market growth.,Product Mindset
Which of the following is a key reason a Delivery Team might fail to build a successful product?,mcq,They have a limited understanding of their customers and users.|They use an agile development methodology.|They collaborate too closely with stakeholders.|They measure their impact on the business.,They have a limited understanding of their customers and users.,Product Team vs Delivery Team
One of the benefits of defining metrics is that it helps the business be more focused and less reactive.,truefalse,,True,Metrics
A product manager's ability to understand and converse with the engineering team about technical trade-offs falls under which core competency?,mcq,Technical Understanding|Business Savvy|Soft Skills|Empathy,Technical Understanding,Role of Product Manager
The concept of 'Data-Driven Decisions' in a product mindset means that:,mcq,Evidence and metrics should be used to guide product choices.|Decisions should only be made based on quantitative data.|The team must collect as much data as possible before acting.|Only data scientists are allowed to make product decisions.,Evidence and metrics should be used to guide product choices.,"Product Mindset,Metrics"
"The three key components of a Product Strategy, as shown in the diagram, are Markets and Needs, Business Goals, and:",mcq,Key Features|Project Budget|Marketing Plan|Technical Specifications,Key Features,Product Strategy
